part,title,date,rating,text
만화,야쿠자의 덕질 1,2022-08-20,4,예판 안했는데도 초판와서 좋았고 줄거리가 신선해서 오랜만에 집중해서 봤어요 ㅋㅋ 다음권 기대되는 신간..
만화,야쿠자의 덕질 1,2022-08-20,4,그림체도 너무 이쁘고 내용도 너무 웃겨서 웃으면서 봤어요 ㅋㅋㅋㅋㅋㅋ 특전도 맘에들어요
만화,야쿠자의 덕질 1,2022-08-20,4,가볍고 깔끔한 데다가 재미까지 있네요.
만화,야쿠자의 덕질 1,2022-08-20,3,야쿠자와 아이돌 교집합 잘 잡음ㅋ 귀엽다
만화,야쿠자의 덕질 1,2022-08-20,3,덕질의 세계에대해 신선하게 풀었네요
만화,야쿠자의 덕질 1,2022-08-19,4,와아아 ㅋㅋㅋ 이럴수가
만화,야쿠자의 덕질 1,2022-08-19,4,궁금해서 사봤는데 특전이 너무 예뻐(?)요ㅋㅋㅋ 2권도 얼른 나오길
만화,야쿠자의 덕질 1,2022-08-16,4,정발 너무좋고 빨리 왔으면
만화,야쿠자의 덕질 1,2022-08-15,4,일본어로만 봤었는데 정발되서 너무 좋아요!!!
만화,야쿠자의 덕질 1,2022-08-04,4,기대되는 책인 것 같습니다.
만화,도쿄 리벤저스 27,2022-08-19,4,너무 질질끌어가는 감이 있긴합니다만 그래도 재밌는건 사실이에요!
만화,도쿄 리벤저스 27,2022-09-06,4,"흡인력 강한 전개가 돋보였던 27권이었는데, 다음 내용이 궁금해서 견딜 수가 없네요."
만화,도쿄 리벤저스 27,2022-09-05,4,재밌게 읽었어요! 다음권도 기대됩니다!
만화,도쿄 리벤저스 27,2022-09-05,4,스토리가 늘어지는 거 같아도 재밌습니다
만화,도쿄 리벤저스 27,2022-09-01,4,재밌어서 좋습니다.
만화,도쿄 리벤저스 27,2022-08-30,3,Best best best
만화,도쿄 리벤저스 27,2022-08-29,4,도리벤은 늘 다음권만 기다립니다! 재밌어요
만화,도쿄 리벤저스 27,2022-08-28,4,언제나처럼 재미있는 만화에요
만화,도쿄 리벤저스 27,2022-08-28,4,좀 쳐지는 느낌이 있지만 그래도 팬이니.. 재미없다는건 아닙니다!
만화,도쿄 리벤저스 27,2022-08-27,4,재미있게 잘보고있어요
만화,도쿄 리벤저스 27,2022-08-26,4,최근 가장 재미있는거 같아요
만화,도쿄 리벤저스 27,2022-08-26,3,best of best
만화,도쿄 리벤저스 27,2022-08-26,4,재미있게 잘 봤어요
만화,도쿄 리벤저스 27,2022-08-26,4,담권이 너무 기대되는데 만화입니다^^
만화,도쿄 리벤저스 27,2022-08-24,4,표지가 너무 맘에 들어요
만화,도쿄 리벤저스 27,2022-08-24,4,재밌게 잘 봤습니다
만화,도쿄 리벤저스 27,2022-08-23,4,빨리 마지막 보고싶어요
만화,도쿄 리벤저스 27,2022-08-23,4,폭력적이지만 재밌습니다
만화,도쿄 리벤저스 27,2022-08-23,4,재밌어요 잘 읽혀요
만화,도쿄 리벤저스 27,2022-08-22,4,재밌어요 추천합니다
만화,도쿄 리벤저스 27,2022-08-20,2,왠지 도돌이표 같지만 그래도 재미있게 읽었다. 다음권을 기대해본다.
만화,도쿄 리벤저스 27,2022-08-18,4,이번 권도 재미있었어요
만화,도쿄 리벤저스 27,2022-08-18,4,재미있게 잘 봤어요
만화,도쿄 리벤저스 27,2022-08-18,4,도쿄리벤저스 너무 재밌어
만화,도쿄 리벤저스 27,2022-08-17,4,이번에도 재미있게 잘 읽었습니다!
만화,도쿄 리벤저스 27,2022-08-17,4,같은 레파토리에도 계속 보게되는
만화,도쿄 리벤저스 27,2022-08-16,4,재밌게 봤습니다...
만화,도쿄 리벤저스 27,2022-08-16,4,오늘 받아서 재밌게 잘 봤네요.
만화,도쿄 리벤저스 27,2022-08-16,4,재미있게 보고 있어요
만화,도쿄 리벤저스 27,2022-08-16,4,잘 받았습니다. 이번엔 띠지가 또 없어졌네요. 꾸준히 있길 바랬는데... 여튼 잘 읽을께요!!
만화,도쿄 리벤저스 27,2022-08-16,4,재미있게 잘 읽었습니다.
만화,도쿄 리벤저스 27,2022-08-15,4,기대되는 책인 것 같습니다.
만화,방과 후 소년 하나코 군,2022-07-21,4,생각했던 것보다 카드 많이 작네요...ㅎ 괜히 8종을 주는게 아니네요. 그래도 내용은 재밌고 역시 그림체 정말 좋아요.
만화,방과 후 소년 하나코 군,2022-09-06,4,재밌게 잘 봤어요:)
만화,방과 후 소년 하나코 군,2022-09-04,4,가볍고 깔끔한 데다가 재미까지 꽉 잡았네요.
만화,방과 후 소년 하나코 군,2022-09-02,4,흥미로운 소재를 아주 잘 활용한 외전이네요.
만화,방과 후 소년 하나코 군,2022-09-02,4,아이가 좋아하는 책이에요.
만화,방과 후 소년 하나코 군,2022-09-02,4,재미있게 잘 봤습니다!
만화,방과 후 소년 하나코 군,2022-09-01,4,재미있게 읽었습니다~
만화,방과 후 소년 하나코 군,2022-08-29,4,재미있게 잘보고있습니다!
만화,방과 후 소년 하나코 군,2022-08-29,4,가볍게 읽을 수 있는 하나코군 외전? 단편집? 입니다
만화,방과 후 소년 하나코 군,2022-08-27,4,아이가 재미있게 읽어요
만화,방과 후 소년 하나코 군,2022-08-25,4,재미있는 책 감사합니다.
만화,방과 후 소년 하나코 군,2022-08-23,4,귀여운 그림체에 어울리는 오싹하고 재밌는 만화책입니다
만화,방과 후 소년 하나코 군,2022-08-21,4,외전도 상당히 좋아요
만화,방과 후 소년 하나코 군,2022-08-21,4,귀엽고 재밌어요 그림체 좋아요
만화,방과 후 소년 하나코 군,2022-08-19,4,미니카드는 생각보다 작았지만 책은 아주 재밌어요
만화,방과 후 소년 하나코 군,2022-08-18,4,딸이 이 만회책 팬입니다
만화,방과 후 소년 하나코 군,2022-08-18,4,진짜 넘넘넘넘넘 재밌어요~~~!!!
만화,방과 후 소년 하나코 군,2022-08-14,4,재미있게 읽고 있습니다
만화,방과 후 소년 하나코 군,2022-08-14,4,재미있게 읽고 있습니다
만화,방과 후 소년 하나코 군,2022-08-13,4,배송 완전 빠르고 카드는 우표크기..ㅋㅋㅋㅋㅋ 귀여워요..ㅎㅎ
만화,방과 후 소년 하나코 군,2022-08-11,4,하나코 시리즈 좋아하는데 스핀오프도 재밌네요!
만화,방과 후 소년 하나코 군,2022-08-11,4,재밌어요 강추합니다
만화,방과 후 소년 하나코 군,2022-08-11,4,너무 좋아해서 소장용으로 꾝 두권씩 구매합니다 궇궇
만화,방과 후 소년 하나코 군,2022-08-11,4,너무너무 재밌습니다 구매 망설이지 마세요 강추!!
만화,방과 후 소년 하나코 군,2022-08-11,4,딸이 늘 기다른 책입니다
만화,방과 후 소년 하나코 군,2022-08-10,4,초판이 생각보다 너무 허접해서 놀랬습니다. 그래도 귀엽네요..ㅎ
만화,방과 후 소년 하나코 군,2022-08-08,4,아이가 참 좋아해요!!!
만화,방과 후 소년 하나코 군,2022-08-07,4,재미있게 읽었습니다.
만화,방과 후 소년 하나코 군,2022-08-06,4,모으는 작품이라 스핀오피까지 구매했네요~! 그런데 기분이 기타밖에 선택이 안되네요.
만화,방과 후 소년 하나코 군,2022-08-05,4,정말 재미있어요 !
만화,방과 후 소년 하나코 군,2022-08-04,4,카드는 많이 작아서 조금 당황했지만 너무 재밌게 읽었어요!
만화,방과 후 소년 하나코 군,2022-08-04,4,하나코군 다운 내용이구요 특전은 꽤 작아요. 만화책 페이지에 8장 딱지처럼 들어있가든요.
만화,방과 후 소년 하나코 군,2022-08-02,4,특전으로 주는 카드 쪼꼬매서 귀여워요ㅋㅋ 재밌어요!
만화,방과 후 소년 하나코 군,2022-08-01,1,어차피살거라사긴했지만 초판부록은 한장은 일러스트도 별로니 나중에사셔도될거같습니다
만화,방과 후 소년 하나코 군,2022-07-27,2,전 그렇게 재미있지는 않네요
만화,방과 후 소년 하나코 군,2022-07-24,2,"가볍게 읽기에 좋은, 원작의 팬이라면 한번쯤 볼만하다."
만화,방과 후 소년 하나코 군,2022-07-23,4,스토리가 엄청나게 재밌진 않아도 그림이 이뻐서 계속 사게됩니다ㅎㅎ
만화,방과 후 소년 하나코 군,2022-07-23,4,특전 미니카드가 너무 미니여서 놀랐어요ㅋㅋ 자칫하면 잃어버리기 쉬울듯
만화,방과 후 소년 하나코 군,2022-07-22,4,본편 이상으로 재미있었어요
만화,방과 후 소년 하나코 군,2022-07-22,4,내용 재미있어요!!!
만화,방과 후 소년 하나코 군,2022-07-22,4,너무 재밌어요~!!!
